Action,Item Code,Title,Short Desc,Long Desc,Taxable,Ship Type,List Price,Price,Start Date,Long Desc 2,Long Desc 3,Long Desc 4,Long Desc 5,Manufacturer,MFG Part Number,Sort Hint,Onsale Image,Status,Available,Hide in Search,In Stock,Product Weight,Weight Unit,Product length,Product width,Product height,Dimension unit,Cost,Meta Keywords,Meta Description,Page Title,Notes for Catalog Designer,Preorder Item,Large Image,Large Image2,Large Image3,Large Image4,Large Image5,Item Image,Item Image2,Item Image3,Item Image4,Item Image5,Thumbnail Image,Thumbnail Image2,Thumbnail Image3,Thumbnail Image4,Thumbnail Image5,Small Image,Small Image2,Small Image3,Small Image4,Small Image5,Parent Item Code,Display Using Template,Availability Date,SeoURL,Bread Crumb Category,UPC,Item Type,Item Theme
add/edit,1SEATERSOFA-6,Hara 1 Seater Sofa in Blue Colour,Hara 1 Seater Sofa in Blue Colour,"<div><p>Mintwud is a classic amalgamation of form and function. Crafted for compact homes, the range is clean and convenient and has an understated design aesthetic that adapts to any space.</p><p>Modern Style Sofas usually come in fixed back with cushions attached to the frame. They mostly come with minimal details &amp; compact proportions. These sofas can be with or without arms.</p></div>",Yes,,2130.0,1600.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,,,Hara 1 Seater Sofa in Blue Colour,,No,/20210219712/assets/items/largeimages/1SEATERSOFA-1.jpg,,,,,/20210219712/assets/items/images/1SEATERSOFA-1.jpg,,,,,/20210219712/assets/items/thumbnails/1SEATERSOFA-1.jpg,,,,,/20210219712/assets/items/small/1SEATERSOFA-1.jpg,,,,,,itemtemplate.vm,,product/furniture/sofas/1-seater-sofa/hara-1-seater-sofa-in-blue-colour-1seatersofa-6/,1 Seater Sofa,404321129042706,Shippable Product,0
add/edit,1SEATERSOFA-7,Amida 1 Seater Sofa in Red Colour,Amida 1 Seater Sofa in Red Colour,"<div><p>Mintwud is a classic amalgamation of form and function. Crafted for compact homes, the range is clean and convenient and has an understated design aesthetic that adapts to any space.</p><p>Bucket Style Sofas have rounded or contoured back. The earliest bucket sofas had high sides and were named for their resembelance to buckets.</p></div>",Yes,,2400.0,1700.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,,,Amida 1 Seater Sofa in Red Colour,,No,/20210219712/assets/items/largeimages/1SEATERSOFA-2.jpg,,,,,/20210219712/assets/items/images/1SEATERSOFA-2.jpg,,,,,/20210219712/assets/items/thumbnails/1SEATERSOFA-2.jpg,,,,,/20210219712/assets/items/small/1SEATERSOFA-2.jpg,,,,,,itemtemplate.vm,,product/furniture/sofas/1-seater-sofa/amida-1-seater-sofa-in-red-colour-1seatersofa-7/,1 Seater Sofa,404321130042706,Shippable Product,0
add/edit,1SEATERSOFA-8,Belem 1 Seater Sofa in Ice Blue Colour,Belem 1 Seater Sofa in Ice Blue Colour,"<div><p>Casacraft offers the best in comfort with elan. The collections are a series of modern trendy designs, simple yet striking and represent the ideals of minimalism. The designs are a perfect blend of functionality and exceptional aesthetics. Each piece is crafted with passion and follows international standards on quality and style.</p><p>The term Mid-Century Modern describes a significant design movement from the mid-1930s to 1965. The sofas attributed to this style have a streamlined form with low, often square legs. You may recognize them for their retro appearance, use of organic shapes and powerful geometry. One thing is certain: if properly integrated in a modern interior, their look will surprise and inspire.</p></div>",Yes,,2150.0,2000.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,,,Belem 1 Seater Sofa in Ice Blue Colour,,No,/20210219712/assets/items/largeimages/1SEATERSOFA-3.jpg,,,,,/20210219712/assets/items/images/1SEATERSOFA-3.jpg,,,,,/20210219712/assets/items/thumbnails/1SEATERSOFA-3.jpg,,,,,/20210219712/assets/items/small/1SEATERSOFA-3.jpg,,,,,,itemtemplate.vm,,product/furniture/sofas/1-seater-sofa/belem-1-seater-sofa-in-ice-blue-colour-1seatersofa-8/,1 Seater Sofa,404321131042706,Shippable Product,0
add/edit,1SEATERSOFA-9,Ohio 1 Seater in Yellow,Ohio 1 Seater in Yellow,"<div><p>ARRA caters to a range of furniture which is knock down, multipurpose in use, simple styles, light weight, easy to use, comfortable, with distinct and unforgettable experience. ARRA is dedicated to fostering freedom in design in home Furniture. The makers of ARRA carry 14 years of experience in furniture industry.</p><p>Contemporary Style Sofas are very current and in trend. Its a very fluid, simplistic style which takes its cues from the in-vogue polishes, textures and colours of the season and is bereft of any ornamentation or embellishments. In this style you can see nods to modern, traditional, art deco and even futuristic design.</p></div>",Yes,,2800.0,2400.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,,,Ohio 1 Seater in Yellow,,No,/20210219712/assets/items/largeimages/1SEATERSOFA-4.jpg,,,,,/20210219712/assets/items/images/1SEATERSOFA-4.jpg,,,,,/20210219712/assets/items/thumbnails/1SEATERSOFA-4.jpg,,,,,/20210219712/assets/items/small/1SEATERSOFA-4.jpg,,,,,,itemtemplate.vm,,product/furniture/sofas/1-seater-sofa/ohio-1-seater-in-yellow-1seatersofa-9/,1 Seater Sofa,404321132042706,Shippable Product,0
add/edit,75075,Bestway 75075 inflatable lounge chair Multicolor,"Bestway 75075, Multicolor, PVC, 1120 mm, 1120 mm, 660 mm, 250 mm","Bestway 75075, Multicolor, PVC, 1120 mm, 1120 mm, 660 mm, 250 mm",Yes,,44.0,42.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,Bestway 75075 inflatable lounge chair Multicolor,"Bestway 75075, Multicolor, PVC, 1120 mm, 1120 mm, 660 mm, 250 mm",Bestway 75075 inflatable lounge chair Multicolor,,No,/20210219712/assets/items/largeimages/75075.jpg,,,,,/20210219712/assets/items/images/75075.jpg,,,,,/20210219712/assets/items/thumbnails/75075.jpg,,,,,/20210219712/assets/items/small/75075.jpg,,,,,,itemtemplate.vm,,product/furniture/chairs/inflatable-lounge-chair/bestway-75075-inflatable-lounge-chair-multicolor-75075/,Inflatable Lounge Chair,6942138970425,Shippable Product,0
add/edit,75076,Bestway 75076 inflatable lounge chair Multicolor,"Bestway 75076, Multicolor, PVC, 1000 mm, 860 mm, 1210 mm, 350 mm","Bestway 75076, Multicolor, PVC, 1000 mm, 860 mm, 1210 mm, 350 mm",Yes,,36.0,34.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,Bestway 75076 inflatable lounge chair Multicolor,"Bestway 75076, Multicolor, PVC, 1000 mm, 860 mm, 1210 mm, 350 mm",Bestway 75076 inflatable lounge chair Multicolor,,No,/20210219712/assets/items/largeimages/75076.jpg,,,,,/20210219712/assets/items/images/75076.jpg,,,,,/20210219712/assets/items/thumbnails/75076.jpg,,,,,/20210219712/assets/items/small/75076.jpg,,,,,,itemtemplate.vm,,product/furniture/chairs/inflatable-lounge-chair/bestway-75076-inflatable-lounge-chair-multicolor-75076/,Inflatable Lounge Chair,6942138970432,Shippable Product,0
add/edit,75077,Bestway 75077 inflatable lounge chair Black,"Bestway 75077, Black, PVC, 990 mm, 1120 mm, 1250 mm, 350 mm","Bestway 75077, Black, PVC, 990 mm, 1120 mm, 1250 mm, 350 mm",Yes,,88.0,86.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,Bestway 75077 inflatable lounge chair Black,"Bestway 75077, Black, PVC, 990 mm, 1120 mm, 1250 mm, 350 mm",Bestway 75077 inflatable lounge chair Black,,No,/20210219712/assets/items/largeimages/75077.jpg,,,,,/20210219712/assets/items/images/75077.jpg,,,,,/20210219712/assets/items/thumbnails/75077.jpg,,,,,/20210219712/assets/items/small/75077.jpg,,,,,,itemtemplate.vm,,product/furniture/chairs/inflatable-lounge-chair/bestway-75077-inflatable-lounge-chair-black-75077/,Inflatable Lounge Chair,6942138967760,Shippable Product,0
add/edit,75081,Bestway 75081 inflatable lounge chair Green,"Bestway 75081, Green, PVC, 1070 mm, 1020 mm, 610 mm, 250 mm","Bestway 75081, Green, PVC, 1070 mm, 1020 mm, 610 mm, 250 mm",Yes,,28.0,26.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,Bestway 75081 inflatable lounge chair Green,"Bestway 75081, Green, PVC, 1070 mm, 1020 mm, 610 mm, 250 mm",Bestway 75081 inflatable lounge chair Green,,No,/20210219712/assets/items/largeimages/75081.jpg,,,,,/20210219712/assets/items/images/75081.jpg,,,,,/20210219712/assets/items/thumbnails/75081.jpg,,,,,/20210219712/assets/items/small/75081.jpg,,,,,,itemtemplate.vm,,product/furniture/chairs/inflatable-lounge-chair/bestway-75081-inflatable-lounge-chair-green-75081/,Inflatable Lounge Chair,6942138969689,Shippable Product,0
add/edit,75082,Bestway 75082 inflatable lounge chair Green,"Bestway 75082, Green, PVC, 980 mm, 760 mm, 1050 mm, 350 mm","Bestway 75082, Green, PVC, 980 mm, 760 mm, 1050 mm, 350 mm",Yes,,44.0,42.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,Bestway 75082 inflatable lounge chair Green,"Bestway 75082, Green, PVC, 980 mm, 760 mm, 1050 mm, 350 mm",Bestway 75082 inflatable lounge chair Green,,No,/20210219712/assets/items/largeimages/75082.jpg,,,,,/20210219712/assets/items/images/75082.jpg,,,,,/20210219712/assets/items/thumbnails/75082.jpg,,,,,/20210219712/assets/items/small/75082.jpg,,,,,,itemtemplate.vm,,product/furniture/chairs/inflatable-lounge-chair/bestway-75082-inflatable-lounge-chair-green-75082/,Inflatable Lounge Chair,6942138970906,Shippable Product,0
add/edit,75085,Bestway 75085 inflatable lounge chair Grey Transparent,"Bestway 75085, Grey,Transparent, PVC, 7 colours, IP67, 820 mm, 820 mm","Bestway 75085, Grey,Transparent, PVC, 7 colours, IP67, 820 mm, 820 mm",Yes,,36.0,34.0,08/04/2020,,,,,,,,,Product is Complete,Yes,No,Yes,0.0,lb,0.0,0.0,0.0,inch,0.0,"Bestway 75085 inflatable lounge chair Grey,Transparent","Bestway 75085, Grey,Transparent, PVC, 7 colours, IP67, 820 mm, 820 mm",Bestway 75085 inflatable lounge chair Grey Transparent,,No,/20210219712/assets/items/largeimages/75085.jpg,,,,,/20210219712/assets/items/images/75085.jpg,,,,,/20210219712/assets/items/thumbnails/75085.jpg,,,,,/20210219712/assets/items/small/75085.jpg,,,,,,itemtemplate.vm,,product/furniture/chairs/inflatable-lounge-chair/bestway-75085-inflatable-lounge-chair-grey-transparent-75085/,Inflatable Lounge Chair,6942138969696,Shippable Product,0
